locationID,hour,dayofweek,is_weekend,lag_1,lag_2,city,demand
Adugodi 4th Stage,17,4,0,1.0,1.0,1,1
Adugodi 4th Stage,21,5,1,1.0,1.0,1,1
Adugodi 6th Stage,16,4,0,1.0,1.0,1,1
Adugodi Arc,13,2,0,1.0,1.0,1,1
Adugodi Area,13,1,0,1.0,1.0,1,1
Adugodi Area,19,4,0,1.0,1.0,1,1
Adugodi Area,20,5,1,1.0,1.0,1,1
Adugodi Circle,18,4,0,1.0,1.0,1,1
Adugodi Circle,19,3,0,1.0,1.0,1,1
Adugodi Colony,11,6,1,1.0,1.0,1,1
Adugodi Cross,11,4,0,1.0,1.0,1,1
Adugodi Dam,20,5,1,1.0,1.0,1,1
Adugodi Dam,21,2,0,1.0,1.0,1,1
Adugodi Esplanade,16,3,0,1.0,1.0,1,1
Adugodi Esplanade,18,5,1,1.0,1.0,1,1
Adugodi Extension,19,5,1,1.0,1.0,1,1
Adugodi Garden,23,2,0,1.0,1.0,1,1
Adugodi Grove,22,3,0,1.0,1.0,1,1
Adugodi Hills,23,4,0,1.0,1.0,1,1
Adugodi Lane,22,2,0,1.0,1.0,1,1
Adugodi Mews,10,6,1,1.0,1.0,1,1
Adugodi Mews,15,5,1,1.0,1.0,1,1
Adugodi Pass,12,1,0,1.0,1.0,1,1
Adugodi Pass,17,5,1,1.0,1.0,1,1
Adugodi Passage,22,3,0,1.0,1.0,1,1
Adugodi Place,6,2,0,1.0,1.0,1,1
Adugodi Quadrant,13,4,0,1.0,1.0,1,1
Adugodi Quadrant,13,5,1,1.0,1.0,1,1
Adugodi Square,14,5,1,1.0,1.0,1,1
Adugodi Square,16,6,1,1.0,1.0,1,1
Adugodi Station,20,0,0,1.0,1.0,1,1
Adugodi Station,20,4,0,1.0,1.0,1,1
Adugodi Summit,15,2,0,1.0,1.0,1,1
Adugodi Summit,17,3,0,1.0,1.0,1,1
Adugodi Summit,18,5,1,1.0,1.0,1,1
Adugodi Township,22,1,0,1.0,1.0,1,1
Adugodi Township,22,5,1,1.0,1.0,1,1
Agara 4th Block,22,1,0,1.0,1.0,1,1
Agara 4th Stage,21,4,0,1.0,1.0,1,1
Agara Complex,19,5,1,1.0,1.0,1,1
Agara Court,20,0,0,1.0,1.0,1,1
Agara District,13,3,0,1.0,1.0,1,1
Agara Drive,14,2,0,1.0,1.0,1,1
Agara Drive,19,2,0,1.0,1.0,1,1
Agara Heights,17,1,0,1.0,1.0,1,1
Agara Heights,19,3,0,1.0,1.0,1,1
Agara Lane,15,1,0,1.0,1.0,1,1
Agara Lane,17,4,0,1.0,1.0,1,1
Agara Park,20,2,0,1.0,1.0,1,1
Agara Park,23,5,1,1.0,1.0,1,1
Agara Pier,10,0,0,1.0,1.0,1,1
Agara Promenade,19,5,1,1.0,1.0,1,1
Agara Promenade,20,6,1,1.0,1.0,1,1
Agara Promenade,21,3,0,1.0,1.0,1,1
Agara Promenade,22,4,0,1.0,1.0,1,1
Agara Ridge,9,2,0,1.0,1.0,1,1
Agara Ridge,18,1,0,1.0,1.0,1,1
Agara Side,13,4,0,1.0,1.0,1,1
Agara Side,14,0,0,1.0,1.0,1,1
Agara Side,22,4,0,1.0,1.0,1,1
Agara Summit,5,2,0,1.0,1.0,1,1
Agara Summit,23,5,1,1.0,1.0,1,1
Agara Trail,21,2,0,1.0,1.0,1,1
Agara Valley,17,3,0,1.0,1.0,1,1
Agara Valley,23,4,0,1.0,1.0,1,1
Agara Vista,21,1,0,1.0,1.0,1,1
Agara Way,22,3,0,1.0,1.0,1,1
Agrahara Layout 1st Stage,19,2,0,1.0,1.0,1,1
Agrahara Layout 3rd Block,9,3,0,1.0,1.0,1,1
Agrahara Layout 3rd Block,11,6,1,1.0,1.0,1,1
Agrahara Layout 4th Block,23,1,0,1.0,1.0,1,1
Agrahara Layout 4th Stage,23,5,1,1.0,1.0,1,1
Agrahara Layout Alcove,22,2,0,1.0,1.0,1,1
Agrahara Layout Complex,8,6,1,1.0,1.0,1,1
Agrahara Layout Complex,17,6,1,1.0,1.0,1,1
Agrahara Layout Complex,20,2,0,1.0,1.0,1,1
Agrahara Layout Complex,21,2,0,1.0,1.0,1,1
Agrahara Layout Court,19,1,0,1.0,1.0,1,1
Agrahara Layout Cross,5,1,0,1.0,1.0,1,1
Agrahara Layout Cross,23,0,0,1.0,1.0,1,1
Agrahara Layout Dam,8,4,0,1.0,1.0,1,1
Agrahara Layout Dam,10,2,0,1.0,1.0,1,1
Agrahara Layout Dam,10,3,0,1.0,1.0,1,1
Agrahara Layout Drive,23,2,0,1.0,1.0,1,1
Agrahara Layout Enclave,15,4,0,1.0,1.0,1,1
Agrahara Layout Enclave,15,6,1,1.0,1.0,1,1
Agrahara Layout Estate,23,1,0,1.0,1.0,1,1
Agrahara Layout Fields,4,5,1,1.0,1.0,1,1
Agrahara Layout Fields,13,3,0,1.0,1.0,1,1
Agrahara Layout Fields,15,2,0,1.0,1.0,1,1
Agrahara Layout Fields,15,6,1,1.0,1.0,1,1
Agrahara Layout Fields,17,4,0,1.0,1.0,1,1
Agrahara Layout Fork,19,3,0,1.0,1.0,1,1
Agrahara Layout Harbor,11,2,0,1.0,1.0,1,1
Agrahara Layout Harbor,13,5,1,1.0,1.0,1,1
Agrahara Layout Hills,20,0,0,1.0,1.0,1,1
Agrahara Layout Lane,16,4,0,1.0,1.0,1,1
Agrahara Layout Layout,19,5,1,1.0,1.0,1,1
Agrahara Layout Pier,21,2,0,1.0,1.0,1,1
Agrahara Layout Pointe,21,1,0,1.0,1.0,1,1
Agrahara Layout Promenade,12,0,0,1.0,1.0,1,1
Agrahara Layout Quarters,21,4,0,1.0,1.0,1,1
Agrahara Layout Ridge,21,4,0,1.0,1.0,1,1
Agrahara Layout Ridge,21,5,1,1.0,1.0,1,1
Agrahara Layout Ridge,23,5,1,1.0,1.0,1,1
Agrahara Layout Road,16,3,0,1.0,1.0,1,1
Agrahara Layout Road,18,2,0,1.0,1.0,1,1
Agrahara Layout Side,8,2,0,1.0,1.0,1,1
Agrahara Layout Side,14,3,0,1.0,1.0,1,1
Agrahara Layout Side,16,3,0,1.0,1.0,1,1
Agrahara Layout Side,18,2,0,1.0,1.0,1,1
Agrahara Layout Side,19,3,0,1.0,1.0,1,1
Agrahara Layout View,22,3,0,1.0,1.0,1,1
Agrahara Layout Vista,16,5,1,1.0,1.0,1,1
Agrahara Layout Way,17,5,1,1.0,1.0,1,1
Amruthahalli 2nd Stage,22,3,0,1.0,1.0,1,1
Amruthahalli 5th Stage,21,1,0,1.0,1.0,1,1
Amruthahalli Alley,23,0,0,1.0,1.0,1,1
Amruthahalli Arcade,23,0,0,1.0,1.0,1,1
Amruthahalli Bridge,21,2,0,1.0,1.0,1,1
Amruthahalli Court,21,1,0,1.0,1.0,1,1
Amruthahalli Crescent,15,1,0,1.0,1.0,1,1
Amruthahalli Cutting,8,3,0,1.0,1.0,1,1
Amruthahalli Estate,22,5,1,1.0,1.0,1,1
Amruthahalli Fork,18,3,0,1.0,1.0,1,1
Amruthahalli Fork,18,5,1,1.0,1.0,1,1
Amruthahalli Fork,19,1,0,1.0,1.0,1,1
Amruthahalli Fork,22,4,0,1.0,1.0,1,1
Amruthahalli Harbor,21,6,1,1.0,1.0,1,2
Amruthahalli Landing,15,1,0,1.0,1.0,1,1
Amruthahalli Landing,18,0,0,1.0,1.0,1,1
Amruthahalli Landing,21,0,0,1.0,1.0,1,1
Amruthahalli Mews,18,4,0,1.0,1.0,1,1
Amruthahalli Promenade,13,0,0,1.0,1.0,1,1
Amruthahalli Promenade,15,3,0,1.0,1.0,1,1
Amruthahalli Promenade,21,2,0,1.0,1.0,1,1
Amruthahalli Quarry,8,4,0,1.0,1.0,1,1
Amruthahalli Quay,12,1,0,1.0,1.0,1,2
Amruthahalli Run,16,2,0,1.0,1.0,1,1
Amruthahalli Village,15,2,0,1.0,1.0,1,1
Amruthahalli Vista,20,1,0,1.0,1.0,1,1
Anekal 3rd Stage,5,1,0,1.0,1.0,1,1
Anekal 3rd Stage,9,4,0,1.0,1.0,1,1
Anekal 3rd Stage,10,2,0,1.0,1.0,1,1
Anekal 3rd Stage,17,3,0,1.0,1.0,1,1
Anekal 4th Block,18,1,0,1.0,1.0,1,1
Anekal 5th Stage,21,3,0,1.0,1.0,1,1
Anekal 5th Stage,23,2,0,1.0,1.0,1,1
Anekal Bay,13,5,1,1.0,1.0,1,1
Anekal Bay,17,3,0,1.0,1.0,1,1
Anekal Colony,21,1,0,1.0,1.0,1,1
Anekal Crescent,6,5,1,1.0,1.0,1,1
Anekal Crescent,12,1,0,1.0,1.0,1,1
Anekal Crescent,14,0,0,1.0,1.0,1,1
Anekal Crescent,21,1,0,1.0,1.0,1,1
Anekal Crescent,21,3,0,1.0,1.0,1,1
Anekal Cutting,17,0,0,1.0,1.0,1,1
Anekal Estate,20,0,0,1.0,1.0,1,1
Anekal Farms,19,3,0,1.0,1.0,1,1
Anekal Garden,17,3,0,1.0,1.0,1,1
Anekal Hills,8,2,0,1.0,1.0,1,1
Anekal Landing,9,3,0,1.0,1.0,1,1
Anekal Landing,14,1,0,1.0,1.0,1,1
Anekal Landing,22,2,0,1.0,1.0,1,1
Anekal Park,15,3,0,1.0,1.0,1,1
Anekal Plaza,20,1,0,1.0,1.0,1,1
Anekal Ridge,19,0,0,1.0,1.0,1,1
Anekal Ridge,20,5,1,1.0,1.0,1,1
Anekal Ridge,21,2,0,1.0,1.0,1,1
Anekal Sector,19,3,0,1.0,1.0,1,1
Anekal Sector,21,5,1,1.0,1.0,1,1
Anekal Summit,23,5,1,1.0,1.0,1,1
Anekal Township,18,2,0,1.0,1.0,1,1
Anekal Track,16,3,0,1.0,1.0,1,1
Anekal Track,19,2,0,1.0,1.0,1,1
Anekal Trail,11,4,0,1.0,1.0,1,1
Anekal Valley,11,4,0,1.0,1.0,1,1
Anekal Viewpoint,9,1,0,1.0,1.0,1,1
Anekal Viewpoint,10,3,0,1.0,1.0,1,1
Anekal Viewpoint,14,0,0,1.0,1.0,1,1
Anekal Village,15,5,1,1.0,1.0,1,1
Anekal Village,17,6,1,1.0,1.0,1,1
Anekal Works,17,0,0,1.0,1.0,1,1
Anekal Works,22,1,0,1.0,1.0,1,1
Anjanapura 6th Block,21,0,0,1.0,1.0,1,1
Anjanapura Circle,11,2,0,1.0,1.0,1,1
Anjanapura Circle,17,3,0,1.0,1.0,1,1
Anjanapura Court,6,5,1,1.0,1.0,1,1
Anjanapura Court,18,0,0,1.0,1.0,1,1
Anjanapura Cove,21,1,0,1.0,1.0,1,1
Anjanapura District,17,4,0,1.0,1.0,1,1
Anjanapura District,22,4,0,1.0,1.0,1,1
Anjanapura Esplanade,17,4,0,1.0,1.0,1,1
Anjanapura Estate,12,3,0,1.0,1.0,1,1
Anjanapura Estate,14,6,1,1.0,1.0,1,1
Anjanapura Harbor,19,2,0,1.0,1.0,1,1
Anjanapura Landing,3,2,0,1.0,1.0,1,1
Anjanapura Landing,7,3,0,1.0,1.0,1,1
Anjanapura Landing,8,1,0,1.0,1.0,1,1
Anjanapura Lane,22,5,1,1.0,1.0,1,1
Anjanapura Loop,11,0,0,1.0,1.0,1,1
Anjanapura Quarters,9,3,0,1.0,1.0,1,1
Anjanapura Run,23,1,0,1.0,1.0,1,1
Anjanapura Square,11,4,0,1.0,1.0,1,1
Anjanapura Station,23,1,0,1.0,1.0,1,1
Anjanapura Woods,6,6,1,1.0,1.0,1,1
Anjanapura Woods,7,3,0,1.0,1.0,1,1
Anjanapura Woods,13,0,0,1.0,1.0,1,1
Anjanapura Zone,14,5,1,1.0,1.0,1,1
Anjanapura Zone,17,6,1,1.0,1.0,1,1
