locationID,locationName,hour,dayofweek,is_weekend,lag_1,lag_2,city,demand
3,Allerton/Pelham Gardens,1,3,0,1.0,2.0,0,1
3,Allerton/Pelham Gardens,2,3,0,1.0,1.0,0,1
3,Allerton/Pelham Gardens,3,3,0,1.0,1.0,0,4
3,Allerton/Pelham Gardens,5,3,0,4.0,1.0,0,1
3,Allerton/Pelham Gardens,6,4,0,1.0,4.0,0,1
3,Allerton/Pelham Gardens,9,4,0,1.0,1.0,0,1
3,Allerton/Pelham Gardens,16,3,0,1.0,1.0,0,1
3,Allerton/Pelham Gardens,18,3,0,1.0,1.0,0,1
3,Allerton/Pelham Gardens,20,3,0,1.0,1.0,0,1
3,Allerton/Pelham Gardens,20,4,0,1.0,1.0,0,1
3,Allerton/Pelham Gardens,21,3,0,1.0,1.0,0,1
3,Allerton/Pelham Gardens,22,4,0,1.0,1.0,0,1
3,Allerton/Pelham Gardens,23,3,0,1.0,1.0,0,2
4,Alphabet City,0,5,1,11.0,58.0,0,8
4,Alphabet City,1,3,0,8.0,11.0,0,39
4,Alphabet City,1,4,0,39.0,8.0,0,6
4,Alphabet City,2,3,0,6.0,39.0,0,50
4,Alphabet City,2,4,0,50.0,6.0,0,1
4,Alphabet City,3,3,0,1.0,50.0,0,49
4,Alphabet City,3,4,0,49.0,1.0,0,4
4,Alphabet City,4,3,0,4.0,49.0,0,30
4,Alphabet City,4,4,0,30.0,4.0,0,3
4,Alphabet City,5,3,0,3.0,30.0,0,22
4,Alphabet City,5,4,0,22.0,3.0,0,4
4,Alphabet City,6,3,0,4.0,22.0,0,4
4,Alphabet City,6,4,0,4.0,4.0,0,7
4,Alphabet City,7,3,0,7.0,4.0,0,5
4,Alphabet City,7,4,0,5.0,7.0,0,8
4,Alphabet City,8,3,0,8.0,5.0,0,4
4,Alphabet City,8,4,0,4.0,8.0,0,16
4,Alphabet City,9,3,0,16.0,4.0,0,3
4,Alphabet City,9,4,0,3.0,16.0,0,15
4,Alphabet City,10,3,0,15.0,3.0,0,8
4,Alphabet City,10,4,0,8.0,15.0,0,12
4,Alphabet City,11,3,0,12.0,8.0,0,14
4,Alphabet City,11,4,0,14.0,12.0,0,14
4,Alphabet City,12,3,0,14.0,14.0,0,13
4,Alphabet City,12,4,0,13.0,14.0,0,14
4,Alphabet City,13,3,0,14.0,13.0,0,13
4,Alphabet City,13,4,0,13.0,14.0,0,10
4,Alphabet City,14,3,0,10.0,13.0,0,15
4,Alphabet City,14,4,0,15.0,10.0,0,14
4,Alphabet City,15,3,0,14.0,15.0,0,19
4,Alphabet City,15,4,0,19.0,14.0,0,21
4,Alphabet City,16,3,0,21.0,19.0,0,14
4,Alphabet City,16,4,0,14.0,21.0,0,13
4,Alphabet City,17,3,0,13.0,14.0,0,24
