locationID,hour,dayofweek,is_weekend,lag_1,lag_2,city,demand
3,1,3,0,1.0,2.0,0,1
3,2,3,0,1.0,1.0,0,1
3,3,3,0,1.0,1.0,0,4
3,5,3,0,4.0,1.0,0,1
3,6,4,0,1.0,4.0,0,1
3,9,4,0,1.0,1.0,0,1
3,16,3,0,1.0,1.0,0,1
3,18,3,0,1.0,1.0,0,1
3,20,3,0,1.0,1.0,0,1
3,20,4,0,1.0,1.0,0,1
3,21,3,0,1.0,1.0,0,1
3,22,4,0,1.0,1.0,0,1
3,23,3,0,1.0,1.0,0,2
4,0,5,1,11.0,58.0,0,8
4,1,3,0,8.0,11.0,0,39
4,1,4,0,39.0,8.0,0,6
4,2,3,0,6.0,39.0,0,50
4,2,4,0,50.0,6.0,0,1
4,3,3,0,1.0,50.0,0,49
4,3,4,0,49.0,1.0,0,4
4,4,3,0,4.0,49.0,0,30
4,4,4,0,30.0,4.0,0,3
4,5,3,0,3.0,30.0,0,22
4,5,4,0,22.0,3.0,0,4
4,6,3,0,4.0,22.0,0,4
4,6,4,0,4.0,4.0,0,7
4,7,3,0,7.0,4.0,0,5
4,7,4,0,5.0,7.0,0,8
4,8,3,0,8.0,5.0,0,4
4,8,4,0,4.0,8.0,0,16
4,9,3,0,16.0,4.0,0,3
4,9,4,0,3.0,16.0,0,15
4,10,3,0,15.0,3.0,0,8
4,10,4,0,8.0,15.0,0,12
4,11,3,0,12.0,8.0,0,14
4,11,4,0,14.0,12.0,0,14
4,12,3,0,14.0,14.0,0,13
4,12,4,0,13.0,14.0,0,14
4,13,3,0,14.0,13.0,0,13
4,13,4,0,13.0,14.0,0,10
4,14,3,0,10.0,13.0,0,15
4,14,4,0,15.0,10.0,0,14
4,15,3,0,14.0,15.0,0,19
4,15,4,0,19.0,14.0,0,21
4,16,3,0,21.0,19.0,0,14
4,16,4,0,14.0,21.0,0,13
4,17,3,0,13.0,14.0,0,24
4,17,4,0,24.0,13.0,0,18
4,18,3,0,18.0,24.0,0,13
4,18,4,0,13.0,18.0,0,23
4,19,3,0,23.0,13.0,0,18
4,19,4,0,18.0,23.0,0,26
4,20,3,0,26.0,18.0,0,20
4,20,4,0,20.0,26.0,0,22
4,21,3,0,22.0,20.0,0,13
4,21,4,0,13.0,22.0,0,18
4,22,3,0,18.0,13.0,0,14
4,22,4,0,14.0,18.0,0,20
4,23,3,0,20.0,14.0,0,18
4,23,4,0,18.0,20.0,0,17
6,19,4,0,1.0,2.0,0,1
7,0,5,1,15.0,54.0,0,18
7,1,3,0,18.0,15.0,0,40
7,1,4,0,40.0,18.0,0,7
7,2,3,0,7.0,40.0,0,49
7,2,4,0,49.0,7.0,0,7
7,3,3,0,7.0,49.0,0,58
7,3,4,0,58.0,7.0,0,1
7,4,3,0,1.0,58.0,0,34
7,4,4,0,34.0,1.0,0,9
7,5,3,0,9.0,34.0,0,24
7,5,4,0,24.0,9.0,0,4
7,6,3,0,4.0,24.0,0,13
7,6,4,0,13.0,4.0,0,3
7,7,3,0,3.0,13.0,0,9
7,7,4,0,9.0,3.0,0,4
7,8,3,0,4.0,9.0,0,3
7,8,4,0,3.0,4.0,0,10
7,9,3,0,10.0,3.0,0,9
7,9,4,0,9.0,10.0,0,15
7,10,3,0,15.0,9.0,0,8
7,10,4,0,8.0,15.0,0,13
7,11,3,0,13.0,8.0,0,10
7,11,4,0,10.0,13.0,0,10
7,12,3,0,10.0,10.0,0,14
7,12,4,0,14.0,10.0,0,5
7,13,3,0,5.0,14.0,0,19
7,13,4,0,19.0,5.0,0,10
7,14,3,0,10.0,19.0,0,17
7,14,4,0,17.0,10.0,0,12
7,15,3,0,12.0,17.0,0,18
7,15,4,0,18.0,12.0,0,10
7,16,3,0,10.0,18.0,0,21
7,16,4,0,21.0,10.0,0,19
7,17,3,0,19.0,21.0,0,10
7,17,4,0,10.0,19.0,0,9
7,18,3,0,9.0,10.0,0,16
7,18,4,0,16.0,9.0,0,17
7,19,3,0,17.0,16.0,0,17
7,19,4,0,17.0,17.0,0,20
7,20,3,0,20.0,17.0,0,18
7,20,4,0,18.0,20.0,0,15
7,21,3,0,15.0,18.0,0,17
7,21,4,0,17.0,15.0,0,23
7,22,3,0,23.0,17.0,0,17
7,22,4,0,17.0,23.0,0,21
7,23,3,0,21.0,17.0,0,14
7,23,4,0,14.0,21.0,0,23
8,4,3,0,1.0,1.0,0,1
